 ,Political Science,Sociology,Business,Philosophy,Economics,Art,Computer Science,Mathematics,Materials Science,Physics,History,Psychology,Geology,Geography,Engineering,Environmental Science,Chemistry,Medicine
1980,1,1,1,0.77506005,1,0.824734747,0.95680802,1,1,0.998276791,0.831439141,0.751791118,0.880179794,0.729313629,0.959691004,0.72941022,0.35457675,0.244524831,
1981,1,1,1,0.781590299,1,0.831764356,0.962513192,1,1,1,0.834311977,0.751633981,0.88003999,0.730880272,0.962523026,0.728511913,0.35465869,0.244477837,
1982,1,1,1,0.788185636,1,0.838089807,0.968453235,1,1,1,0.837522012,0.752147472,0.879983075,0.732273186,0.965567124,0.726563274,0.3542042,0.244651373,
1983,1,1,1,0.794600283,1,0.844688321,0.973877239,1,1,1,0.84024526,0.752189537,0.879390897,0.733381711,0.968308926,0.724436261,0.354025433,0.245125738,
1984,1,1,1,0.800613906,1,0.850854506,0.979311351,1,1,1,0.842469947,0.752299503,0.878744202,0.73418253,0.97049925,0.722538434,0.35360892,0.245800687,
1985,1,1,1,0.806764616,1,0.856938807,0.984221575,1,1,1,0.844554826,0.752292782,0.87835463,0.734910149,0.974146859,0.72068991,0.353330023,0.24640971,
1986,1,1,1,0.813264001,1,0.863209765,0.989629636,1,1,1,0.846475675,0.752118321,0.877015288,0.735587414,0.976753042,0.718685572,0.352804727,0.247103092,
1987,1,1,1,0.818995404,1,0.868668401,0.994393049,1,1,1,0.848470996,0.75206304,0.876686136,0.736247732,0.979434114,0.717274524,0.352389659,0.247928775,
1988,1,1,1,0.825140321,1,0.874550685,1,1,1,1,0.850212646,0.751865633,0.8753373,0.736229153,0.983791656,0.715704135,0.352476432,0.249060129,
1989,1,1,1,0.831378493,1,0.880070634,1,1,1,1,0.851827551,0.751657516,0.874498263,0.736734247,0.988068997,0.71414004,0.35244378,0.249995686,
1990,1,1,1,0.83761836,1,0.885323178,1,1,1,1,0.853496476,0.751140914,0.873001496,0.736390084,0.989773925,0.712120594,0.35248214,0.250623369,
1991,1,1,1,0.84396534,1,0.890123806,1,1,1,1,0.855001265,0.750806209,0.871712502,0.736300561,0.992254908,0.710205695,0.35302464,0.251319782,
1992,1,1,1,0.850188994,1,0.894643167,1,1,1,1,0.855932384,0.75078249,0.870177061,0.73571027,0.993388405,0.708300039,0.353427223,0.25199661,
1993,1,1,1,0.856769769,1,0.898939414,1,1,1,1,0.856324018,0.750117977,0.86785473,0.734796374,0.993491257,0.705850926,0.353852545,0.25281014,
1994,1,1,1,0.863242326,1,0.903085512,1,1,1,1,0.856604514,0.749898621,0.865222918,0.733787949,0.991867254,0.70364685,0.354191548,0.253600525,
1995,1,1,1,0.870276998,1,0.90832251,1,1,1,1,0.857192159,0.75049451,0.862928097,0.733403592,0.98915986,0.701444676,0.35356619,0.254604074,
1996,1,1,1,0.877098466,1,0.912660926,1,1,1,1,0.85715115,0.750917245,0.860456258,0.732616449,0.986031278,0.69957479,0.353098159,0.256086088,
1997,1,1,1,0.88499619,1,0.917678361,1,1,1,1,0.858251694,0.751374102,0.85936665,0.732952227,0.982729511,0.698532914,0.352822176,0.257487024,
1998,1,1,1,0.893036437,1,0.92299241,1,1,1,1,0.858971727,0.752056083,0.858477957,0.733714001,0.977905518,0.697849022,0.35196673,0.258969126,
1999,1,1,1,0.901239294,1,0.927986806,1,1,1,1,0.859627417,0.753513368,0.857123287,0.734360659,0.972124778,0.697144601,0.351514361,0.260647198,
2000,1,1,1,0.909316012,1,0.932238793,1,1,1,1,0.859474901,0.754993657,0.854766823,0.734465826,0.965729411,0.695785165,0.351066604,0.262620186,
2001,1,1,1,0.917291654,1,0.936506828,1,1,1,1,0.859209125,0.75693666,0.85254225,0.734863286,0.959400049,0.694520584,0.350782885,0.265193683,
2002,1,1,1,0.92519308,1,0.940536403,1,1,1,1,0.858352013,0.75873575,0.84985193,0.7350502,0.95225529,0.692690619,0.350297064,0.2678399,
2003,1,1,1,0.932258291,1,0.944243406,1,1,1,1,0.857231616,0.760522595,0.846353671,0.735067078,0.944412701,0.690504547,0.349877326,0.270834585,
2004,1,1,1,0.939269519,1,0.947375774,1,1,1,1,0.855812128,0.762763943,0.842963687,0.735208056,0.93647315,0.688324854,0.349681737,0.274156876,
2005,1,1,1,0.945942083,1,0.950936458,1,1,1,1,0.854208973,0.765349934,0.838872394,0.73555578,0.926939901,0.685743467,0.349542373,0.277907568,
2006,1,1,1,0.952440508,1,0.954006678,1,1,1,1,0.852563214,0.767858443,0.834344681,0.735848312,0.916608442,0.682949903,0.349371895,0.281387266,
2007,1,1,1,0.958297993,1,0.956665355,1,1,1,1,0.850439108,0.77112059,0.829410011,0.735871519,0.90457986,0.679490829,0.349601985,0.285617536,
2008,1,1,1,0.963691585,1,0.957760208,1,1,1,0.99437452,0.848337507,0.773869932,0.824827699,0.735897171,0.892548408,0.676014389,0.34897377,0.28951137,
