 ,Biology,Chemistry,Physics,Materials Science,Geology,Engineering,Medicine,Mathematics,Environmental Science,Computer Science,Art,Psychology,Geography,Philosophy,History,Business,Economics,Sociology
1980,1,1,1,1,0.965593591,0.816071552,0.954015926,0.845712701,0.818451713,0.714213385,0.514883087,0.615864798,0.555582269,0.52456171,0.387885791,0.404797118,0.322588451,0.29277841,
1981,1,1,1,1,0.973837399,0.819718235,0.955098671,0.844565914,0.825458746,0.713976846,0.518334482,0.611792491,0.555205513,0.52156608,0.38671522,0.398958401,0.321571312,0.291025222,
1982,1,1,1,1,0.969136693,0.822950584,0.957007405,0.844660982,0.832664604,0.71366815,0.519443295,0.609037094,0.554050909,0.515114269,0.385714012,0.394157519,0.321566122,0.290331222,
1983,1,1,1,1,0.980520537,0.827488561,0.959072726,0.846925559,0.839983061,0.715596898,0.52215317,0.606654723,0.553147152,0.513854783,0.385152034,0.392500359,0.321889389,0.289497395,
1984,1,1,1,1,0.986798707,0.832463066,0.960991528,0.849390091,0.847308837,0.718613583,0.522616524,0.605014215,0.552969348,0.509910075,0.385230071,0.390951578,0.322241216,0.288940029,
1985,1,1,1,1,0.990773798,0.837396548,0.96294376,0.851423294,0.8490655,0.722425675,0.523215466,0.602782209,0.551962413,0.505561253,0.384642665,0.388521189,0.322805704,0.288080387,
1986,1,1,1,1,0.993228737,0.842884179,0.964444025,0.854318488,0.856088011,0.726473198,0.522919623,0.600852081,0.550337355,0.501126028,0.383594159,0.386692821,0.323457291,0.287418635,
1987,1,1,1,1,0.998517033,0.84672218,0.96541489,0.858054632,0.861845384,0.731848034,0.524366468,0.599303497,0.550410215,0.498757997,0.383840847,0.384485223,0.323434584,0.28685093,
1988,1,1,1,1,1,0.851135587,0.965960681,0.861427493,0.868613903,0.738030781,0.523345993,0.597716117,0.551039966,0.49447291,0.383626129,0.382393014,0.32381106,0.286411448,
1989,1,1,1,1,1,0.857313001,0.967055604,0.865697534,0.871420268,0.745487897,0.523188021,0.59671231,0.550736194,0.490308326,0.382541651,0.380898409,0.323861633,0.285480556,
1990,1,1,1,1,1,0.862119005,0.966976467,0.869913768,0.874750757,0.752858967,0.522118725,0.59525303,0.550819362,0.484492667,0.381494693,0.379014533,0.324075179,0.284807319,
1991,1,1,1,1,1,0.867839728,0.967326244,0.873997924,0.878304773,0.75896483,0.522140749,0.593605314,0.551118669,0.479965182,0.381296014,0.376339271,0.32466312,0.284192765,
1992,1,1,1,1,1,0.873210667,0.967969161,0.877799658,0.879545929,0.765715492,0.522534104,0.59167808,0.551879231,0.475666163,0.380572216,0.373831634,0.324907585,0.283522066,
1993,1,1,1,1,1,0.877538302,0.967773727,0.882143087,0.881276937,0.771908365,0.523447159,0.589542507,0.552172513,0.473097815,0.380067529,0.371170783,0.325120526,0.282828323,
1994,1,1,1,1,1,0.881675282,0.967800685,0.886915509,0.881930789,0.777908863,0.523286457,0.587234711,0.550539123,0.471902496,0.378927523,0.368353677,0.324902041,0.281533295,
1995,1,1,1,1,1,0.885351817,0.967687036,0.891377611,0.881674555,0.783730379,0.522787621,0.584949524,0.549704959,0.471040387,0.377784172,0.36759643,0.324795568,0.280265153,
1996,1,1,1,1,1,0.889347684,0.967668483,0.896209194,0.883155482,0.78904645,0.521300771,0.58278822,0.548587616,0.469969789,0.376532548,0.367179617,0.324484622,0.278827971,
1997,1,1,1,1,1,0.892983028,0.968218658,0.901224125,0.884635969,0.794341892,0.520374847,0.581286603,0.546825261,0.469474665,0.375622394,0.366228828,0.324221657,0.277355678,
1998,1,1,1,1,1,0.89699328,0.969185659,0.904796646,0.886554489,0.799175547,0.519511049,0.57957348,0.545155512,0.468454077,0.374695852,0.364791555,0.323521976,0.275729549,
1999,1,1,1,1,1,0.900738003,0.969681658,0.908526081,0.886137223,0.802999422,0.519523793,0.578168926,0.543834157,0.468139474,0.374790575,0.363356983,0.323360437,0.274545355,
2000,1,1,1,1,1,0.903249814,0.970036371,0.911351087,0.884874424,0.805102445,0.519188651,0.575998076,0.541684189,0.467573171,0.375172897,0.36038354,0.322487581,0.272642877,
2001,1,1,1,1,1,0.905412492,0.96978553,0.913547972,0.883202765,0.806226278,0.519207276,0.573960608,0.539199382,0.467659666,0.379142193,0.358085405,0.322201158,0.271149133,
2002,1,1,1,1,1,0.906730682,0.969409665,0.915344275,0.88250681,0.807076637,0.518320543,0.571564589,0.53604279,0.467735576,0.383397306,0.355704933,0.321984016,0.26966291,
2003,1,1,1,1,1,0.907905672,0.968767617,0.916642617,0.881697001,0.808495964,0.518116547,0.56894078,0.53415714,0.468512901,0.388243391,0.353511164,0.321973758,0.267993023,
2004,1,1,1,1,1,0.909917682,0.967569513,0.918165591,0.882855602,0.809854611,0.518656431,0.566378913,0.532090091,0.469992749,0.393739467,0.352091027,0.322514525,0.266589766,
2005,1,1,1,1,1,0.911776552,0.966530749,0.919961553,0.882984042,0.812022205,0.519733652,0.563791875,0.529984981,0.471567734,0.399175334,0.351643849,0.323443947,0.265153603,
2006,1,1,1,1,1,0.914135629,0.96507818,0.921763331,0.882825061,0.814347743,0.520355444,0.560744791,0.527834093,0.472768415,0.404378297,0.351186862,0.324621506,0.263805902,
2007,1,1,1,1,1,0.916349274,0.963075741,0.922825699,0.881246738,0.815865244,0.521741781,0.557346114,0.525511408,0.474639634,0.409589008,0.35099758,0.325951807,0.262560399,
2008,1,1,1,1,1,0.918529657,0.96085637,0.923113459,0.877792321,0.816941021,0.523070934,0.554420106,0.522618057,0.47575834,0.414427718,0.351482957,0.327880496,0.261452981,
