source,target,value
15,58,0.753
5,38,0.7523
30,58,0.752
30,118,0.7514000000000001
59,132,0.7514000000000001
12,43,0.7505999999999999
6,13,0.7501
24,109,0.75
5,79,0.7494000000000001
83,91,0.7474000000000001
15,38,0.7457
10,35,0.7452
38,82,0.7446999999999999
26,91,0.7445999999999999
38,125,0.7444
47,67,0.7442
119,124,0.7441
38,91,0.7441
6,42,0.7435
49,148,0.7425999999999999
24,26,0.7416
67,106,0.7415
126,139,0.7404
30,67,0.7403
82,90,0.7394000000000001
17,32,0.7391
42,58,0.7379
48,69,0.7368
12,37,0.7361
28,52,0.7355
23,120,0.735
17,57,0.7348
41,91,0.7347
5,159,0.7343
13,91,0.7343
15,44,0.7343
16,57,0.7331
60,132,0.7327
27,97,0.7324999999999999
79,109,0.7324999999999999
15,25,0.7323999999999999
41,145,0.7315
35,37,0.7313000000000001
31,47,0.7312000000000001
38,79,0.7309
6,26,0.7308
44,125,0.7308
25,30,0.7307
15,26,0.7303
5,25,0.73
41,159,0.7293000000000001
14,44,0.7293000000000001
41,79,0.7292000000000001
106,129,0.7291000000000001
14,88,0.7284999999999999
28,94,0.7282
124,139,0.7281
5,44,0.728
133,159,0.7274
122,149,0.7252000000000001
38,44,0.7252000000000001
25,47,0.7247
22,126,0.7244999999999999
69,89,0.724
41,58,0.7219
91,157,0.7217
47,79,0.7212000000000001
82,125,0.7207
121,178,0.7206
87,95,0.7203999999999999
71,174,0.7202
35,115,0.7198
20,43,0.7194
83,157,0.7188
9,34,0.7186
79,133,0.7181
29,182,0.718
29,35,0.7179
42,79,0.7179
25,79,0.7170000000000001
12,158,0.7166
159,177,0.7159
73,156,0.7155
14,41,0.7154
7,171,0.7150000000000001
14,159,0.7143999999999999
31,133,0.714
34,152,0.7138
6,58,0.7138
68,172,0.7138
91,125,0.7131000000000001
9,152,0.7131000000000001
9,182,0.7129
12,141,0.7128
26,109,0.7125
20,35,0.7125
31,58,0.7121999999999999
107,153,0.7121
82,129,0.7117
14,24,0.7116
118,151,0.7115
6,125,0.7107
24,176,0.7102999999999999
7,172,0.7098
79,177,0.7096
6,159,0.7092
29,152,0.7091000000000001
5,41,0.7091000000000001
8,78,0.7090000000000001
69,105,0.7081
42,145,0.7076
10,152,0.7070000000000001
7,74,0.7069
137,142,0.7069
12,115,0.7068
22,160,0.7068
31,185,0.7066
79,91,0.7065
17,33,0.706
68,123,0.7054
15,88,0.7053
11,37,0.7053
34,43,0.7047
7,75,0.7044
22,84,0.7041999999999999
147,157,0.704
13,159,0.704
24,91,0.7039
29,115,0.7038
15,159,0.7037
12,188,0.7033
25,41,0.7031000000000001
31,145,0.7031000000000001
30,79,0.7028
12,29,0.702
83,147,0.702
111,179,0.7019
48,89,0.7016
26,83,0.7015
38,42,0.7013
16,33,0.7012
47,151,0.7008
74,175,0.7008
58,159,0.7006
41,47,0.7005
95,205,0.7005
83,90,0.7001999999999999
41,67,0.7
29,34,0.6999
25,31,0.6995
119,126,0.6993
5,177,0.6993
22,85,0.6988
38,83,0.6986
42,133,0.6981999999999999
3,68,0.698
30,184,0.6976
26,177,0.6975
15,91,0.6974
6,25,0.6973
82,106,0.6971
88,159,0.6964
7,78,0.6962999999999999
157,201,0.6962999999999999
14,58,0.6960999999999999
150,179,0.6960999999999999
26,42,0.6955
4,172,0.6954
26,82,0.6952
13,58,0.6950000000000001
58,91,0.6946
42,90,0.6945
4,7,0.6944
20,37,0.6940999999999999
133,177,0.6940999999999999
132,168,0.6933
53,123,0.6932
35,36,0.6931
58,109,0.6929000000000001
79,145,0.6925
14,26,0.6923
55,150,0.6923
35,43,0.6920999999999999
41,184,0.692
79,151,0.6915
25,42,0.6913
75,175,0.6912
5,176,0.6911
30,180,0.6907
79,159,0.6903
79,118,0.6901999999999999
34,37,0.69
108,112,0.6896
13,130,0.6894
13,90,0.6892
17,173,0.6889000000000001
67,79,0.6889000000000001
11,115,0.6889000000000001
13,30,0.6887
13,25,0.6884
20,115,0.6881999999999999
53,163,0.6880999999999999
14,38,0.6879
187,188,0.6878
90,125,0.6872
30,151,0.687
7,123,0.687
7,54,0.6869000000000001
137,183,0.6867
24,42,0.6866
24,25,0.6863
13,79,0.6863
145,159,0.6861999999999999
138,183,0.6861999999999999
24,82,0.6859
15,30,0.6859
82,147,0.6856
123,164,0.6853
169,209,0.6851
38,90,0.6851
6,79,0.685
91,201,0.6846
23,116,0.6845
197,206,0.6845
26,159,0.6838
9,115,0.6836
37,188,0.6836
100,190,0.6836
110,173,0.6836
52,95,0.6835
41,118,0.6835
109,125,0.6834
14,79,0.6832
58,133,0.6829000000000001
86,96,0.6827
44,88,0.6825
14,25,0.6825
58,118,0.6824
30,42,0.6823
54,163,0.6821999999999999
147,167,0.6819999999999999
71,105,0.6818
13,26,0.6818
13,38,0.6815
80,113,0.6815
62,107,0.6814
122,202,0.6802
8,123,0.6802
4,54,0.6799999999999999
31,42,0.6799
209,217,0.6799
99,152,0.6799
55,129,0.6797
31,79,0.6794
68,163,0.6793
61,108,0.679
15,151,0.6789000000000001
15,177,0.6788000000000001
67,145,0.6788000000000001
82,201,0.6788000000000001
161,184,0.6783
22,120,0.6780999999999999
42,44,0.6780999999999999
33,209,0.6779
159,184,0.6778
189,216,0.6773
31,191,0.6772
42,125,0.6772
25,91,0.677
10,34,0.6769000000000001
54,171,0.6767000000000001
140,155,0.6767000000000001
31,118,0.6767000000000001
27,98,0.6763
6,177,0.6762
24,177,0.6760999999999999
167,208,0.6759
4,68,0.6754
42,130,0.6751
170,172,0.6751
50,53,0.6748000000000001
42,184,0.6743
82,109,0.6738999999999999
106,147,0.6737
23,139,0.6732
24,90,0.6731
15,145,0.6731
152,188,0.6729
22,139,0.6728000000000001
0,78,0.6727000000000001
145,184,0.6727000000000001
152,158,0.6725
50,123,0.6723
72,155,0.6718999999999999
3,7,0.6718999999999999
5,151,0.6713
129,157,0.671
24,58,0.6709
15,125,0.6706
91,159,0.6698
89,232,0.6697
56,129,0.6697
24,88,0.6695
62,152,0.6694
26,41,0.6692
28,97,0.6691
65,142,0.6689
115,152,0.6683
26,47,0.6683
68,78,0.6677
54,170,0.6677
11,141,0.6676
38,176,0.6674
157,200,0.6674
31,181,0.6673
86,205,0.6669
80,146,0.6669
54,74,0.6669
180,191,0.6666000000000001
30,133,0.6658
